customer_id,customer_name,email,region,acquisition_channel,customer_segment,signup_date
CUST-1034,Christopher Brown,christopher.brown94@example.com, EAST,Organic Search,Consumer,2024-07-15
CUST-1035,Michael Moore,michael.moore55@example.com,South,Social Media,Corporate,2024-09-12
CUST-1036,Margaret Williams,margaret.williams71@example.com,  NORTH ,Organic Search,Small Business,2025-07-07
CUST-1037,Anthony Smith,anthony.smith97@example.com,south,Paid Ads,Corporate,2025-05-12
CUST-1038,Jessica Miller,jessica.miller8@example.com,South,Email Campaign,Consumer,2025-02-03
CUST-1039,William Anderson,william.anderson90@example.com,Midwest,,Small Business,2025-05-13
CUST-1040,Robert Miller,robert.miller8@example.com,MIDWEST,,Small Business,2024-03-03
CUST-1041,Lisa Hernandez,lisa.hernandez75@example.com,west,Referral,Small Business,2024-06-10
CUST-1042,Mary Taylor,mary.taylor24@example.com,  NORTH ,Referral,Consumer,2025-11-22
CUST-1043,Margaret Davis,margaret.davis73@example.com,south,Referral,Small Business,2024-02-10
CUST-1044,Karen Williams,karen.williams75@example.com,MIDWEST,Referral,Corporate,2024-09-24
CUST-1045,Michael Hernandez,michael.hernandez51@example.com,South,,Small Business,2024-11-03
CUST-1046,Joseph Hernandez,joseph.hernandez10@example.com,North,Email Campaign,Small Business,2025-07-30
CUST-1047,Patricia Williams,patricia.williams65@example.com,East,Paid Ads,Corporate,2024-03-11
CUST-1048,Donald Davis,donald.davis21@example.com,west,Referral,Small Business,2024-11-05
CUST-1049,Karen Taylor,,Midwest,Social Media,Small Business,2024-04-16
CUST-1050,Donald Jones,donald.jones14@example.com,Midwest,Paid Ads,Corporate,2024-10-15
CUST-1051,Karen Miller,karen.miller27@example.com,,,Corporate,2025-06-01
CUST-1052,Jessica Rodriguez,jessica.rodriguez7@example.com,  NORTH ,,Corporate,2024-10-10
CUST-1053,Mary Smith,mary.smith17@example.com,,Social Media,Consumer,2025-03-28
CUST-1054,Sarah Wilson,sarah.wilson15@example.com,  NORTH ,,Consumer,2025-07-12
CUST-1055,Mary Lopez,mary.lopez19@example.com,West,Paid Ads,Consumer,2024-11-11
CUST-1056,Barbara Johnson,barbara.johnson27@example.com,,Paid Ads,Small Business,2024-04-15
CUST-1057,Barbara Moore,barbara.moore53@example.com,MIDWEST,,Consumer,2024-08-30
CUST-1058,Margaret Garcia,margaret.garcia23@example.com,West,Organic Search,Consumer,2024-12-06
CUST-1059,Betty Wilson,betty.wilson95@example.com,south,Social Media,Consumer,2024-04-20
CUST-1060,Richard Johnson,richard.johnson29@example.com,south,Email Campaign,Corporate,2024-11-08
CUST-1061,Anthony Davis,anthony.davis85@example.com,south,Email Campaign,Corporate,2024-10-12
CUST-1062,Margaret Williams,margaret.williams36@example.com, EAST,,Small Business,2025-02-13
CUST-1063,Nancy Moore,nancy.moore4@example.com,  NORTH ,Social Media,Consumer,2025-08-17
CUST-1064,William Johnson,william.johnson56@example.com, EAST,,Corporate,2025-03-22
CUST-1065,Karen Taylor,karen.taylor74@example.com,south,Social Media,Consumer,2025-03-22
CUST-1066,James Taylor,james.taylor69@example.com,,,Small Business,2025-11-17
CUST-1067,Michael Lopez,michael.lopez86@example.com, EAST,Referral,Corporate,2025-11-10
CUST-1068,Margaret Brown,margaret.brown39@example.com,Midwest,Social Media,Small Business,2025-02-22
CUST-1069,David Gonzalez,david.gonzalez71@example.com,South,Paid Ads,Corporate,2025-11-11
CUST-1070,Richard Garcia,richard.garcia39@example.com,West,Referral,Consumer,2024-11-07
CUST-1071,Elizabeth Miller,elizabeth.miller75@example.com,MIDWEST,,Corporate,2025-04-21
CUST-1072,Joseph Anderson,joseph.anderson66@example.com,west,,Consumer,2025-11-05
CUST-1073,John Martinez,john.martinez82@example.com,MIDWEST,Social Media,Consumer,2024-08-28
CUST-1074,Nancy Martinez,nancy.martinez26@example.com,South,Organic Search,Consumer,2024-09-07
CUST-1075,Jessica Martin,jessica.martin10@example.com,west,Email Campaign,Small Business,2025-08-12
CUST-1076,Michael Gonzalez,michael.gonzalez32@example.com,South,,Small Business,2024-01-06
CUST-1077,Donald Brown,donald.brown29@example.com,South,,Small Business,2025-04-20
CUST-1078,Mary Moore,mary.moore16@example.com,west,Paid Ads,Corporate,2025-11-14
CUST-1079,Thomas Moore,thomas.moore97@example.com,west,Referral,Small Business,2025-05-31
CUST-1080,Susan Moore,susan.moore21@example.com,west,Email Campaign,Corporate,2024-09-10
CUST-1081,Anthony Rodriguez,anthony.rodriguez67@example.com,west,,Consumer,2024-10-08
CUST-1082,Joseph Williams,joseph.williams31@example.com,East,Social Media,Corporate,2025-07-07
CUST-1083,John Jones,john.jones50@example.com,South,,Consumer,2024-03-06
CUST-1084,Susan Wilson,susan.wilson60@example.com,West,Organic Search,Consumer,2025-03-06
CUST-1085,Richard Jackson,richard.jackson3@example.com,MIDWEST,Email Campaign,Corporate,2024-01-07
CUST-1086,Barbara Martinez,barbara.martinez54@example.com,Midwest,,Small Business,2025-07-13
CUST-1087,Betty Martin,betty.martin63@example.com,south,Social Media,Corporate,2025-05-12
CUST-1088,James Gonzalez,james.gonzalez87@example.com,West,,Consumer,2025-04-23
CUST-1089,Sandra Jones,sandra.jones69@example.com,North,Email Campaign,Small Business,2025-07-31
CUST-1090,Nancy Smith,nancy.smith55@example.com,South,Email Campaign,Consumer,2024-02-21
CUST-1091,William Gonzalez,william.gonzalez59@example.com, EAST,Social Media,Corporate,2024-10-11
CUST-1092,Matthew Wilson,matthew.wilson11@example.com,west,Organic Search,Small Business,2025-07-06
CUST-1093,Mary Lopez,mary.lopez9@example.com,,Organic Search,Consumer,2024-09-10
CUST-1094,Michael Smith,michael.smith31@example.com,South,Email Campaign,Small Business,2024-04-27
CUST-1095,Charles Miller,charles.miller33@example.com, EAST,Paid Ads,Small Business,2025-09-13
CUST-1096,Lisa Brown,lisa.brown21@example.com,East,Organic Search,Small Business,2024-01-27
CUST-1097,Sandra Martinez,sandra.martinez49@example.com,West,,Consumer,2024-03-18
CUST-1098,Charles Davis,charles.davis99@example.com,East,,Small Business,2024-05-03
CUST-1099,Betty Jackson,betty.jackson45@example.com,Midwest,Email Campaign,Small Business,2025-01-14
CUST-1100,John Taylor,john.taylor2@example.com,West,Email Campaign,Consumer,2025-03-19
CUST-1101,Barbara Anderson,barbara.anderson56@example.com,South,,Small Business,2025-10-28
CUST-1102,William Martin,william.martin69@example.com,west,Email Campaign,Corporate,2025-08-29
CUST-1103,William Hernandez,william.hernandez12@example.com,East,Email Campaign,Consumer,2025-04-20
CUST-1104,Charles Martin,charles.martin44@example.com,North,Email Campaign,Corporate,2024-07-05
CUST-1105,Jessica Miller,jessica.miller34@example.com, EAST,Social Media,Small Business,2024-10-09
CUST-1106,Sarah Smith,sarah.smith25@example.com,  NORTH ,Paid Ads,Small Business,2025-02-20
CUST-1107,Jessica Moore,jessica.moore89@example.com,west,,Small Business,2025-05-17
CUST-1108,Joseph Smith,joseph.smith29@example.com,West,,Consumer,2024-11-09
CUST-1109,Nancy Jackson,nancy.jackson71@example.com,Midwest,Social Media,Corporate,2025-07-17
CUST-1110,David Lopez,david.lopez35@example.com,East,Social Media,Consumer,2024-05-03
CUST-1111,Lisa Miller,lisa.miller96@example.com,Midwest,,Consumer,2024-07-15
CUST-1112,Michael Thomas,michael.thomas76@example.com,Midwest,Referral,Corporate,2024-04-12
CUST-1113,Anthony Miller,anthony.miller47@example.com,South,Social Media,Consumer,2025-06-30
CUST-1114,Robert Rodriguez,robert.rodriguez7@example.com,Midwest,Social Media,Small Business,2024-05-09
CUST-1115,Christopher Thomas,christopher.thomas2@example.com,MIDWEST,Social Media,Corporate,2025-05-05
CUST-1116,Joseph Hernandez,joseph.hernandez7@example.com,East,Email Campaign,Consumer,2024-03-07
CUST-1117,Richard Thomas,richard.thomas81@example.com,,Organic Search,Consumer,2024-06-01
CUST-1118,Betty Jackson,betty.jackson11@example.com,south,Organic Search,Small Business,2025-03-02
CUST-1119,Karen Martin,karen.martin29@example.com,Midwest,Email Campaign,Corporate,2025-03-29
CUST-1120,Elizabeth Jackson,elizabeth.jackson40@example.com,MIDWEST,Referral,Consumer,2025-09-16
CUST-1121,Lisa Brown,lisa.brown27@example.com,,Paid Ads,Corporate,2025-11-07
CUST-1122,John Garcia,john.garcia71@example.com,  NORTH ,Paid Ads,Consumer,2025-02-22
CUST-1123,Joseph Martin,joseph.martin5@example.com,south,Social Media,Small Business,2024-10-16
CUST-1124,Daniel Anderson,daniel.anderson30@example.com,East,,Small Business,2025-11-08
CUST-1125,Betty Miller,betty.miller70@example.com,south,,Consumer,2024-09-29
CUST-1126,Anthony Jones,anthony.jones22@example.com,East,Referral,Small Business,2025-08-05
CUST-1127,Sandra Martinez,sandra.martinez60@example.com,East,,Corporate,2024-10-05
CUST-1128,Thomas Moore,thomas.moore11@example.com,MIDWEST,Organic Search,Corporate,2024-11-26
CUST-1129,Karen Rodriguez,,south,,Small Business,2025-08-24
CUST-1130,James Rodriguez,james.rodriguez98@example.com,South,Email Campaign,Small Business,2025-10-29
CUST-1131,Joseph Rodriguez,joseph.rodriguez75@example.com,West,,Corporate,2024-04-03
CUST-1132,Jessica Lopez,jessica.lopez42@example.com,,Organic Search,Consumer,2024-12-03
CUST-1133,Susan Thomas,susan.thomas52@example.com,Midwest,Organic Search,Corporate,2024-03-31
CUST-1134,David Rodriguez,david.rodriguez99@example.com,West,Referral,Consumer,2025-11-04
CUST-1135,Margaret Moore,margaret.moore7@example.com,south,Referral,Corporate,2025-09-29
CUST-1136,Matthew Thomas,matthew.thomas98@example.com,North,Paid Ads,Corporate,2025-07-16
CUST-1137,Robert Martinez,robert.martinez90@example.com,west,Organic Search,Consumer,2025-10-07
CUST-1138,Karen Davis,karen.davis40@example.com,Midwest,Organic Search,Small Business,2025-02-21
CUST-1139,John Davis,john.davis15@example.com,west,Organic Search,Small Business,2024-06-06
CUST-1140,Jessica Martinez,jessica.martinez35@example.com,West,Email Campaign,Corporate,2024-09-06
CUST-1141,Joseph Moore,joseph.moore25@example.com,MIDWEST,Referral,Small Business,2024-05-19
CUST-1142,Margaret Williams,margaret.williams54@example.com, EAST,Referral,Corporate,2024-01-03
CUST-1143,Elizabeth Martinez,elizabeth.martinez75@example.com,,Email Campaign,Consumer,2025-04-02
CUST-1144,Sarah Thomas,sarah.thomas71@example.com,Midwest,Email Campaign,Corporate,2024-11-25
CUST-1145,Margaret Miller,margaret.miller31@example.com,MIDWEST,Email Campaign,Consumer,2025-02-24
CUST-1146,Mary Hernandez,mary.hernandez91@example.com,West,Email Campaign,Small Business,2025-10-29
CUST-1147,Robert Thomas,robert.thomas17@example.com,Midwest,Referral,Corporate,2024-04-12
CUST-1148,Margaret Anderson,margaret.anderson59@example.com,North,,Consumer,2025-02-23
CUST-1149,Margaret Jones,margaret.jones34@example.com, EAST,Referral,Small Business,2025-02-11
CUST-1150,Christopher Williams,christopher.williams87@example.com,Midwest,Email Campaign,Corporate,2025-10-03
CUST-1151,Daniel Thomas,daniel.thomas5@example.com,MIDWEST,Organic Search,Consumer,2025-10-08
CUST-1152,Nancy Martinez,nancy.martinez96@example.com,  NORTH ,Email Campaign,Consumer,2025-10-10
CUST-1153,Daniel Brown,daniel.brown89@example.com,East,Organic Search,Consumer,2024-11-28
CUST-1154,Betty Johnson,betty.johnson48@example.com,West,Paid Ads,Consumer,2025-06-27
CUST-1155,Susan Jackson,susan.jackson24@example.com,South,Paid Ads,Consumer,2025-09-16
CUST-1156,Margaret Gonzalez,margaret.gonzalez31@example.com,west,Referral,Consumer,2024-08-25
CUST-1157,Joseph Rodriguez,joseph.rodriguez86@example.com,North,Email Campaign,Corporate,2025-11-24
CUST-1158,Sarah Garcia,sarah.garcia45@example.com,MIDWEST,Social Media,Small Business,2025-03-10
CUST-1159,Daniel Rodriguez,daniel.rodriguez39@example.com,south,Email Campaign,Corporate,2024-04-19
CUST-1160,Linda Gonzalez,linda.gonzalez74@example.com,East,,Corporate,2024-01-23
CUST-1161,Anthony Gonzalez,anthony.gonzalez73@example.com,,,Consumer,2025-09-12
CUST-1162,Lisa Thomas,lisa.thomas37@example.com,south,Referral,Corporate,2024-08-12
CUST-1163,Christopher Miller,christopher.miller87@example.com,,,Consumer,2025-10-05
CUST-1164,Patricia Johnson,patricia.johnson57@example.com,North,Referral,Corporate,2024-05-14
CUST-1165,John Martinez,john.martinez54@example.com,South,Paid Ads,Consumer,2025-07-06
CUST-1166,Donald Lopez,donald.lopez35@example.com,South,Social Media,Corporate,2024-10-29
CUST-1167,Lisa Hernandez,lisa.hernandez60@example.com,  NORTH ,Paid Ads,Consumer,2025-11-23
CUST-1168,Lisa Gonzalez,lisa.gonzalez72@example.com, EAST,Organic Search,Corporate,2024-01-15
CUST-1169,William Moore,william.moore48@example.com,,,Small Business,2024-09-25
CUST-1170,Charles Gonzalez,charles.gonzalez48@example.com,  NORTH ,,Consumer,2025-04-27
CUST-1171,James Martin,james.martin72@example.com, EAST,Referral,Consumer,2025-10-25
CUST-1172,John Anderson,john.anderson39@example.com,,Email Campaign,Consumer,2024-05-23
CUST-1173,Mary Johnson,mary.johnson64@example.com,  NORTH ,Organic Search,Consumer,2025-07-04
CUST-1174,Robert Gonzalez,robert.gonzalez86@example.com,Midwest,Email Campaign,Small Business,2024-06-07
CUST-1175,Donald Wilson,donald.wilson63@example.com,MIDWEST,Email Campaign,Corporate,2024-02-03
CUST-1176,Daniel Lopez,daniel.lopez57@example.com,south,Social Media,Consumer,2025-01-11
CUST-1177,Sarah Lopez,sarah.lopez36@example.com,south,Organic Search,Corporate,2024-04-03
CUST-1178,Nancy Miller,nancy.miller77@example.com,North,Organic Search,Corporate,2024-09-06
CUST-1179,Robert Jackson,robert.jackson98@example.com,Midwest,Paid Ads,Small Business,2024-08-09
CUST-1180,Anthony Davis,anthony.davis19@example.com,MIDWEST,Organic Search,Corporate,2024-05-28
CUST-1181,Robert Moore,robert.moore23@example.com,  NORTH ,,Consumer,2024-05-14
CUST-1182,James Lopez,james.lopez31@example.com,MIDWEST,Social Media,Consumer,2024-06-27
CUST-1183,William Johnson,william.johnson54@example.com,Midwest,Organic Search,Small Business,2024-03-06
CUST-1184,Jessica Anderson,jessica.anderson66@example.com,MIDWEST,Organic Search,Corporate,2025-05-30
CUST-1185,Linda Martin,linda.martin85@example.com,Midwest,Social Media,Corporate,2025-10-20
CUST-1186,James Johnson,james.johnson52@example.com,West,,Consumer,2025-05-17
CUST-1187,Daniel Anderson,daniel.anderson11@example.com, EAST,Referral,Consumer,2024-03-08
CUST-1188,Robert Rodriguez,robert.rodriguez75@example.com,Midwest,,Corporate,2025-01-25
CUST-1189,Karen Taylor,karen.taylor65@example.com,MIDWEST,Email Campaign,Consumer,2024-04-27
CUST-1190,Margaret Moore,margaret.moore28@example.com,West,Email Campaign,Consumer,2025-02-27
CUST-1191,David Anderson,david.anderson94@example.com,  NORTH ,Social Media,Corporate,2024-11-16
CUST-1192,Nancy Rodriguez,nancy.rodriguez20@example.com,,Email Campaign,Consumer,2024-04-03
CUST-1193,Anthony Williams,anthony.williams13@example.com, EAST,Paid Ads,Small Business,2024-03-02
CUST-1194,Charles Moore,charles.moore86@example.com,  NORTH ,Email Campaign,Corporate,2025-11-12
CUST-1195,Matthew Wilson,matthew.wilson93@example.com,North,Social Media,Small Business,2024-11-15
CUST-1196,Barbara Brown,barbara.brown28@example.com,South,,Corporate,2024-08-17
CUST-1197,Margaret Brown,margaret.brown72@example.com, EAST,Organic Search,Corporate,2025-08-10
CUST-1198,Linda Wilson,linda.wilson99@example.com,MIDWEST,Referral,Small Business,2025-10-20
CUST-1199,Sarah Smith,sarah.smith85@example.com,East,Organic Search,Consumer,2024-10-06
CUST-1200,Daniel Martinez,daniel.martinez45@example.com,North,Paid Ads,Consumer,2025-08-02
CUST-1201,Nancy Gonzalez,nancy.gonzalez95@example.com,,Organic Search,Consumer,2025-06-27
CUST-1202,Michael Gonzalez,michael.gonzalez44@example.com,South,Social Media,Corporate,2024-11-28
CUST-1203,Matthew Jackson,matthew.jackson7@example.com,South,Paid Ads,Small Business,2024-02-20
CUST-1204,Nancy Williams,nancy.williams85@example.com,West,Email Campaign,Small Business,2025-03-28
CUST-1205,Susan Rodriguez,susan.rodriguez66@example.com,  NORTH ,Social Media,Corporate,2024-04-23
CUST-1206,Elizabeth Jackson,elizabeth.jackson86@example.com,East,Organic Search,Consumer,2025-02-08
CUST-1207,Karen Johnson,,East,Paid Ads,Consumer,2024-09-18
CUST-1208,Elizabeth Hernandez,elizabeth.hernandez64@example.com,West,Paid Ads,Consumer,2025-01-24
CUST-1209,Sarah Davis,sarah.davis86@example.com, EAST,Organic Search,Corporate,2024-02-13
CUST-1210,Susan Smith,susan.smith10@example.com, EAST,Referral,Corporate,2025-08-10
CUST-1211,Richard Wilson,richard.wilson52@example.com,North,Social Media,Consumer,2025-09-24
CUST-1212,Joseph Lopez,joseph.lopez14@example.com,south,Email Campaign,Small Business,2025-02-14
CUST-1213,Thomas Williams,thomas.williams40@example.com, EAST,Paid Ads,Corporate,2024-06-21
CUST-1214,John Taylor,john.taylor68@example.com,Midwest,Paid Ads,Corporate,2024-12-25
CUST-1215,Lisa Jones,lisa.jones19@example.com,East,Paid Ads,Consumer,2025-09-08
CUST-1216,Robert Williams,robert.williams99@example.com,,Email Campaign,Corporate,2025-07-31
CUST-1217,Matthew Jackson,matthew.jackson73@example.com,,,Small Business,2024-11-26
CUST-1218,Margaret Hernandez,margaret.hernandez9@example.com,west,Email Campaign,Small Business,2024-11-06
CUST-1219,Betty Rodriguez,betty.rodriguez46@example.com,Midwest,Organic Search,Corporate,2025-04-17
CUST-1220,Joseph Johnson,joseph.johnson37@example.com,  NORTH ,,Consumer,2025-09-21
CUST-1221,Karen Taylor,karen.taylor75@example.com,Midwest,,Consumer,2025-04-05
CUST-1222,Sandra Jackson,sandra.jackson42@example.com,MIDWEST,Email Campaign,Small Business,2024-06-03
CUST-1223,Mary Anderson,mary.anderson44@example.com,  NORTH ,Referral,Small Business,2024-06-25
CUST-1224,Mary Davis,mary.davis57@example.com,Midwest,Referral,Small Business,2024-06-11
CUST-1225,Barbara Lopez,barbara.lopez50@example.com,West,Social Media,Small Business,2025-09-04
CUST-1226,Mary Hernandez,mary.hernandez13@example.com,Midwest,,Corporate,2024-10-17
CUST-1227,William Martin,william.martin43@example.com,  NORTH ,Referral,Small Business,2024-05-24
CUST-1228,Sandra Lopez,sandra.lopez84@example.com,,Email Campaign,Consumer,2025-09-01
CUST-1229,Daniel Williams,daniel.williams49@example.com,,Social Media,Consumer,2025-11-17
CUST-1230,Daniel Taylor,daniel.taylor86@example.com,West,Referral,Corporate,2024-01-19
CUST-1231,Barbara Martinez,barbara.martinez28@example.com, EAST,Email Campaign,Consumer,2024-08-19
CUST-1232,Robert Jones,robert.jones13@example.com,Midwest,Referral,Small Business,2025-06-23
CUST-1233,Mary Hernandez,mary.hernandez80@example.com,South,Referral,Corporate,2024-06-06
CUST-1234,Jennifer Garcia,jennifer.garcia99@example.com,MIDWEST,Paid Ads,Small Business,2025-03-24
CUST-1235,Mary Wilson,mary.wilson93@example.com,south,Email Campaign,Small Business,2024-10-18
CUST-1236,Matthew Anderson,matthew.anderson31@example.com,East,Email Campaign,Consumer,2025-01-11
CUST-1237,Nancy Jackson,nancy.jackson60@example.com,East,Email Campaign,Small Business,2025-06-24
CUST-1238,Susan Garcia,susan.garcia78@example.com,South,Social Media,Consumer,2025-10-18
CUST-1239,Jessica Lopez,jessica.lopez14@example.com,Midwest,Organic Search,Corporate,2024-03-26
CUST-1240,Matthew Garcia,matthew.garcia66@example.com,South,Email Campaign,Consumer,2024-08-15
CUST-1241,Anthony Anderson,anthony.anderson4@example.com,West,Organic Search,Corporate,2025-05-29
CUST-1242,Barbara Davis,barbara.davis11@example.com, EAST,Paid Ads,Consumer,2024-11-22
CUST-1243,Sandra Brown,sandra.brown84@example.com, EAST,Paid Ads,Consumer,2024-02-09
CUST-1244,Elizabeth Thomas,elizabeth.thomas18@example.com,west,Email Campaign,Small Business,2024-01-06
CUST-1245,Donald Williams,,south,Paid Ads,Small Business,2025-09-15
CUST-1246,Thomas Wilson,thomas.wilson37@example.com,south,Social Media,Consumer,2024-02-18
CUST-1247,Linda Wilson,linda.wilson80@example.com,west,Organic Search,Consumer,2025-05-26
CUST-1248,Karen Moore,,Midwest,Referral,Consumer,2024-05-27
CUST-1249,Elizabeth Wilson,, EAST,Paid Ads,Small Business,2025-03-02
CUST-1250,Jennifer Williams,jennifer.williams47@example.com,  NORTH ,Referral,Small Business,2025-06-03
CUST-1251,Betty Taylor,betty.taylor50@example.com,west,Organic Search,Small Business,2025-01-31
CUST-1252,Barbara Rodriguez,barbara.rodriguez46@example.com,  NORTH ,Social Media,Consumer,2025-11-03
CUST-1253,Christopher Brown,christopher.brown95@example.com, EAST,Paid Ads,Consumer,2024-12-26
CUST-1254,Sarah Hernandez,sarah.hernandez23@example.com,,Email Campaign,Small Business,2025-05-05
CUST-1255,Christopher Garcia,christopher.garcia9@example.com,west,Organic Search,Corporate,2024-07-25
CUST-1256,Mary Miller,mary.miller41@example.com,East,Referral,Corporate,2025-07-10
CUST-1257,Jessica Rodriguez,jessica.rodriguez83@example.com,south,Social Media,Corporate,2024-02-18
CUST-1258,Margaret Hernandez,margaret.hernandez48@example.com,West,Email Campaign,Small Business,2025-03-26
CUST-1259,Donald Gonzalez,donald.gonzalez24@example.com,west,,Corporate,2025-01-11
CUST-1260,Sandra Taylor,sandra.taylor11@example.com,West,Organic Search,Corporate,2025-09-08
CUST-1261,Anthony Garcia,anthony.garcia42@example.com,  NORTH ,Organic Search,Corporate,2025-11-07
CUST-1262,Elizabeth Martinez,elizabeth.martinez92@example.com,West,Paid Ads,Small Business,2025-03-30
CUST-1263,Barbara Anderson,barbara.anderson46@example.com,MIDWEST,Email Campaign,Corporate,2025-10-16
CUST-1264,Betty Johnson,betty.johnson82@example.com,West,Social Media,Small Business,2025-11-26
CUST-1265,Jennifer Smith,jennifer.smith78@example.com,,Email Campaign,Consumer,2024-05-09
CUST-1266,John Davis,john.davis47@example.com, EAST,Email Campaign,Small Business,2024-02-03
CUST-1267,Karen Jones,karen.jones48@example.com, EAST,Email Campaign,Consumer,2025-08-10
CUST-1268,Robert Taylor,robert.taylor41@example.com,,Social Media,Consumer,2024-04-26
CUST-1269,James Garcia,james.garcia50@example.com,Midwest,Organic Search,Corporate,2024-09-23
CUST-1270,Daniel Anderson,daniel.anderson79@example.com,East,,Corporate,2024-07-23
CUST-1271,Patricia Jones,patricia.jones58@example.com,South,,Corporate,2024-03-30
CUST-1272,Betty Hernandez,betty.hernandez91@example.com,  NORTH ,Referral,Small Business,2024-10-24
CUST-1273,Donald Martinez,donald.martinez92@example.com,,Paid Ads,Corporate,2025-06-04
CUST-1274,Linda Brown,linda.brown18@example.com,south,Email Campaign,Consumer,2025-01-04
CUST-1275,Sarah Jackson,sarah.jackson71@example.com,South,Referral,Consumer,2024-03-08
CUST-1276,Elizabeth Gonzalez,elizabeth.gonzalez93@example.com,west,Referral,Corporate,2025-02-23
CUST-1277,Anthony Jackson,anthony.jackson41@example.com,,Organic Search,Corporate,2025-04-22
CUST-1278,Nancy Taylor,nancy.taylor71@example.com,,Referral,Consumer,2024-05-12
CUST-1279,Susan Taylor,susan.taylor8@example.com,  NORTH ,Referral,Consumer,2024-11-07
CUST-1280,Jennifer Garcia,jennifer.garcia91@example.com,south,Social Media,Small Business,2024-10-17
CUST-1281,Margaret Williams,margaret.williams82@example.com,Midwest,Social Media,Consumer,2025-10-02
CUST-1282,Elizabeth Martin,elizabeth.martin65@example.com,,Paid Ads,Small Business,2025-08-17
CUST-1283,Robert Garcia,robert.garcia93@example.com,MIDWEST,Social Media,Small Business,2024-02-12
CUST-1284,Anthony Smith,anthony.smith83@example.com,MIDWEST,Social Media,Small Business,2024-08-03
CUST-1285,Matthew Jackson,matthew.jackson82@example.com,North,Email Campaign,Small Business,2025-07-12
CUST-1286,Elizabeth Martinez,elizabeth.martinez88@example.com,West,Social Media,Corporate,2024-03-15
CUST-1287,Daniel Johnson,daniel.johnson54@example.com,west,Email Campaign,Consumer,2024-12-14
CUST-1288,Karen Jones,karen.jones92@example.com, EAST,,Corporate,2025-02-12
CUST-1289,Robert Lopez,robert.lopez14@example.com, EAST,Paid Ads,Corporate,2024-05-05
CUST-1290,William Anderson,william.anderson13@example.com,North,Social Media,Corporate,2025-09-22
CUST-1291,Susan Davis,susan.davis21@example.com, EAST,Referral,Small Business,2024-11-16
CUST-1292,Michael Garcia,michael.garcia66@example.com,west,Email Campaign,Corporate,2025-05-24
