order_id,order_date,customer_id,product_id,quantity,discount,payment_method,shipping_cost,product_name,category,unit_cost,unit_price,unit_margin,target_margin_pct,customer_name,email,region,acquisition_channel,customer_segment,signup_date,is_returned,return_reason,gross_sales,discount_amount,net_sales,total_cost,gross_profit,profit_margin_pct,net_revenue,net_profit_final,order_year,order_month,order_year_month,order_quarter,day_of_week
ORD-10011,2025-04-14,CUST-1994,PROD-48,5,0.05,Debit Card,11.57,High-Performance Bicycle Helmet,Sports & Outdoors,25.0,64.99,39.989999999999995,61.53,Lisa Wilson,lisa.wilson49@example.com,South,Organic Search,Corporate,2025-08-22,0,No Return,324.95,16.2475,308.7025,125.0,183.7025,59.50794049286935,308.7025,183.7025,2025,4,2025-04,2025Q2,Monday
ORD-10012,2024-10-23,CUST-1588,PROD-43,5,0.2,Store Credit,9.41,Insulated Stainless Hydration Bottle,Sports & Outdoors,10.0,29.99,19.99,66.66,Linda Jones,linda.jones3@example.com,Midwest,Referral,Consumer,2024-05-06,1,Late Delivery,149.95,29.99,119.96,50.0,69.96,58.31943981327109,0.0,-9.41,2024,10,2024-10,2024Q4,Wednesday
ORD-10013,2024-04-25,CUST-1143,PROD-44,3,0.0,Store Credit,13.87,Ultra-Thick Non-Slip Yoga Mat,Sports & Outdoors,14.0,36.0,22.0,61.11,Elizabeth Martinez,elizabeth.martinez75@example.com,Unknown,Email Campaign,Consumer,2025-04-02,0,No Return,108.0,0.0,108.0,42.0,66.0,61.111111111111114,108.0,66.0,2024,4,2024-04,2024Q2,Thursday
ORD-10014,2024-08-13,CUST-1057,PROD-39,5,0.15,PayPal,16.49,Exfoliating Body Wash Lavender,Beauty & Care,5.0,14.99,9.99,66.64,Barbara Moore,barbara.moore53@example.com,Midwest,Direct / Organic,Consumer,2024-08-30,0,No Return,74.95,11.2425,63.7075,25.0,38.7075,60.75815249381941,63.7075,38.7075,2024,8,2024-08,2024Q3,Tuesday
ORD-10015,2024-10-11,CUST-1870,PROD-29,1,0.15,Store Credit,7.1,Automatic Drip Coffee Maker,Home & Kitchen,25.0,59.99,34.99,58.33,Jennifer Martinez,jennifer.martinez89@example.com,Midwest,Referral,Small Business,2024-06-30,0,No Return,59.99,8.9985,50.9915,25.0,25.991500000000002,50.97222086033947,50.9915,25.991500000000002,2024,10,2024-10,2024Q4,Friday
ORD-10016,2024-11-21,CUST-1058,PROD-43,2,0.2,Store Credit,9.9,Insulated Stainless Hydration Bottle,Sports & Outdoors,10.0,29.99,19.99,66.66,Margaret Garcia,margaret.garcia23@example.com,West,Organic Search,Consumer,2024-12-06,0,No Return,59.98,11.996,47.983999999999995,20.0,27.983999999999995,58.31943981327109,47.983999999999995,27.983999999999995,2024,11,2024-11,2024Q4,Thursday
ORD-10017,2025-01-16,CUST-1316,PROD-29,1,0.0,Store Credit,15.85,Automatic Drip Coffee Maker,Home & Kitchen,25.0,59.99,34.99,58.33,Elizabeth Williams,elizabeth.williams57@example.com,Unknown,Social Media,Small Business,2025-05-05,0,No Return,59.99,0.0,59.99,25.0,34.99,58.326387731288555,59.99,34.99,2025,1,2025-01,2025Q1,Thursday
ORD-10018,2025-03-01,CUST-1826,PROD-47,4,0.2,Store Credit,6.22,Resistance Exercise Bands (Set of 5),Sports & Outdoors,7.0,19.99,12.989999999999998,64.98,James Hernandez,james.hernandez15@example.com,East,Email Campaign,Corporate,2024-01-24,0,No Return,79.96,15.991999999999999,63.967999999999996,28.0,35.967999999999996,56.22811405702851,63.967999999999996,35.967999999999996,2025,3,2025-03,2025Q1,Saturday
ORD-10019,2025-08-24,CUST-1311,PROD-31,5,0.05,Credit Card,18.92,Hydrating Facial Serum Vitamin C,Beauty & Care,12.0,34.0,22.0,64.71,Jennifer Anderson,jennifer.anderson44@example.com,Midwest,Social Media,Small Business,2025-11-28,0,No Return,170.0,8.5,161.5,60.0,101.5,62.848297213622295,161.5,101.5,2025,8,2025-08,2025Q3,Sunday
ORD-10020,2025-08-27,CUST-1420,PROD-41,4,0.0,Credit Card,11.38,Adjustable Dumbbell Set 50lbs,Sports & Outdoors,110.0,249.99,139.99,56.0,Susan Gonzalez,missing_email@apexretail.com,South,Paid Ads,Corporate,2024-03-05,1,Changed Mind,999.96,0.0,999.96,440.0,559.96,55.99823992959718,0.0,-11.38,2025,8,2025-08,2025Q3,Wednesday
ORD-10021,2025-08-04,CUST-1191,PROD-25,4,0.0,Debit Card,17.34,High-Speed Blender 1200W,Home & Kitchen,40.0,89.99,49.989999999999995,55.55,David Anderson,david.anderson94@example.com,North,Social Media,Corporate,2024-11-16,0,No Return,359.96,0.0,359.96,160.0,199.95999999999998,55.55061673519279,359.96,199.95999999999998,2025,8,2025-08,2025Q3,Monday
ORD-10022,2024-11-07,CUST-1230,PROD-02,2,0.05,Debit Card,19.29,"Smart 4K Ultra HD TV 55""",Electronics,350.0,699.99,349.99,50.0,Daniel Taylor,daniel.taylor86@example.com,West,Referral,Corporate,2024-01-19,0,No Return,1399.98,69.99900000000001,1329.981,700.0,629.981,47.36766916219104,1329.981,629.981,2024,11,2024-11,2024Q4,Thursday
ORD-10023,2025-10-13,CUST-1915,PROD-19,4,0.2,PayPal,4.45,Casual Canvas Sneakers,Apparel,22.0,52.0,30.0,57.69,Anthony Anderson,anthony.anderson52@example.com,North,Referral,Consumer,2025-09-02,0,No Return,208.0,41.6,166.4,88.0,78.4,47.11538461538461,166.4,78.4,2025,10,2025-10,2025Q4,Monday
ORD-10025,2024-09-21,CUST-1711,PROD-08,5,0.0,Debit Card,6.6,High-Speed Wi-Fi Router,Electronics,50.0,119.99,69.99,58.33,Richard Hernandez,richard.hernandez79@example.com,Unknown,Direct / Organic,Consumer,2024-06-13,1,Wrong Size / Fit,599.9499999999999,0.0,599.9499999999999,250.0,349.94999999999993,58.32986082173514,0.0,-6.6,2024,9,2024-09,2024Q3,Saturday
ORD-10026,2024-02-29,CUST-1710,PROD-09,1,0.05,Debit Card,10.7,Noise Isolating Earbuds,Electronics,25.0,59.99,34.99,58.33,Patricia Davis,patricia.davis90@example.com,South,Organic Search,Consumer,2025-06-04,0,No Return,59.99,2.9995000000000003,56.990500000000004,25.0,31.990500000000004,56.13303971714584,56.990500000000004,31.990500000000004,2024,2,2024-02,2024Q1,Thursday
ORD-10027,2024-12-30,CUST-1655,PROD-05,2,0.0,Credit Card,16.03,Portable Bluetooth Speaker,Home & Kitchen,30.0,79.99,49.989999999999995,62.5,Sarah Wilson,sarah.wilson10@example.com,Unknown,Paid Ads,Consumer,2025-04-15,0,No Return,159.98,0.0,159.98,60.0,99.97999999999999,62.49531191398925,159.98,99.97999999999999,2024,12,2024-12,2024Q4,Monday
ORD-10028,2025-07-10,CUST-1866,PROD-44,3,0.2,Debit Card,5.52,Ultra-Thick Non-Slip Yoga Mat,Sports & Outdoors,14.0,36.0,22.0,61.11,Charles Thomas,charles.thomas57@example.com,North,Referral,Small Business,2024-01-07,0,No Return,108.0,21.6,86.4,42.0,44.400000000000006,51.38888888888889,86.4,44.400000000000006,2025,7,2025-07,2025Q3,Thursday
ORD-10029,2025-08-16,CUST-1141,PROD-34,4,0.1,Debit Card,18.72,Deep Cleansing Charcoal Scrub,Beauty & Care,7.0,19.99,12.989999999999998,64.98,Joseph Moore,joseph.moore25@example.com,Midwest,Referral,Small Business,2024-05-19,0,No Return,79.96,7.9959999999999996,71.964,28.0,43.964,61.09165693958089,71.964,43.964,2025,8,2025-08,2025Q3,Saturday
ORD-10030,2024-06-15,CUST-1227,PROD-13,5,0.15,Credit Card,17.53,Classic Cotton Crewneck T-Shirt,Apparel,8.0,24.0,16.0,66.67,William Martin,william.martin43@example.com,North,Referral,Small Business,2024-05-24,0,No Return,120.0,18.0,102.0,40.0,62.0,60.78431372549019,102.0,62.0,2024,6,2024-06,2024Q2,Saturday
ORD-10031,2025-12-30,CUST-1117,PROD-27,1,0.0,PayPal,18.76,Electric Kettle Temperature Control,Apparel,22.0,49.99,27.990000000000002,55.99,Richard Thomas,richard.thomas81@example.com,Unknown,Organic Search,Consumer,2024-06-01,0,No Return,49.99,0.0,49.99,22.0,27.990000000000002,55.99119823964793,49.99,27.990000000000002,2025,12,2025-12,2025Q4,Tuesday
ORD-10032,2025-05-06,CUST-1143,PROD-29,5,0.15,Debit Card,6.75,Automatic Drip Coffee Maker,Home & Kitchen,25.0,59.99,34.99,58.33,Elizabeth Martinez,elizabeth.martinez75@example.com,Unknown,Email Campaign,Consumer,2025-04-02,0,No Return,299.95,44.9925,254.95749999999998,125.0,129.95749999999998,50.97222086033947,254.95749999999998,129.95749999999998,2025,5,2025-05,2025Q2,Tuesday
ORD-10033,2024-11-07,CUST-1228,PROD-09,2,0.2,PayPal,8.91,Noise Isolating Earbuds,Electronics,25.0,59.99,34.99,58.33,Sandra Lopez,sandra.lopez84@example.com,Unknown,Email Campaign,Consumer,2025-09-01,0,No Return,119.98,23.996000000000002,95.98400000000001,50.0,45.98400000000001,47.90798466411069,95.98400000000001,45.98400000000001,2024,11,2024-11,2024Q4,Thursday
ORD-10034,2024-08-02,CUST-1708,PROD-49,1,0.0,Store Credit,16.11,Outdoor Hydration Backpack 2L,Apparel,18.0,44.99,26.990000000000002,59.99,Betty Moore,betty.moore48@example.com,Midwest,Referral,Corporate,2024-09-16,0,No Return,44.99,0.0,44.99,18.0,26.990000000000002,59.991109135363416,44.99,26.990000000000002,2024,8,2024-08,2024Q3,Friday
ORD-10035,2024-02-13,CUST-1676,PROD-33,4,0.0,Debit Card,4.68,Organic Argan Hair Oil Repair,Beauty & Care,9.0,26.0,17.0,65.38,Charles Gonzalez,charles.gonzalez28@example.com,North,Referral,Corporate,2025-07-10,1,Wrong Size / Fit,104.0,0.0,104.0,36.0,68.0,65.38461538461539,0.0,-4.68,2024,2,2024-02,2024Q1,Tuesday
ORD-10036,2024-11-04,CUST-1802,PROD-08,2,0.15,PayPal,6.95,High-Speed Wi-Fi Router,Electronics,50.0,119.99,69.99,58.33,Betty Garcia,betty.garcia65@example.com,East,Direct / Organic,Consumer,2025-06-30,0,No Return,239.98,35.997,203.983,100.0,103.983,50.97630684910017,203.983,103.983,2024,11,2024-11,2024Q4,Monday
ORD-10037,2024-12-25,CUST-1765,PROD-18,3,0.05,PayPal,17.67,Breathable Athletic Socks (6-Pack),Home & Kitchen,6.0,18.0,12.0,66.67,Michael Wilson,michael.wilson56@example.com,West,Paid Ads,Consumer,2025-10-23,0,No Return,54.0,2.7,51.3,18.0,33.3,64.91228070175438,51.3,33.3,2024,12,2024-12,2024Q4,Wednesday
ORD-10038,2025-09-19,CUST-1102,PROD-38,5,0.0,PayPal,19.42,Natural Sunscreen SPF 50,Beauty & Care,8.0,22.0,14.0,63.64,William Martin,william.martin69@example.com,West,Email Campaign,Corporate,2025-08-29,0,No Return,110.0,0.0,110.0,40.0,70.0,63.63636363636363,110.0,70.0,2025,9,2025-09,2025Q3,Friday
ORD-10039,2024-06-24,CUST-1997,PROD-47,2,0.15,Store Credit,9.85,Resistance Exercise Bands (Set of 5),Sports & Outdoors,7.0,19.99,12.989999999999998,64.98,Michael Hernandez,michael.hernandez89@example.com,Midwest,Organic Search,Corporate,2024-05-19,0,No Return,39.98,5.996999999999999,33.983,14.0,19.982999999999997,58.80293087720331,33.983,19.982999999999997,2024,6,2024-06,2024Q2,Monday
ORD-10040,2025-08-26,CUST-1110,PROD-12,4,0.1,PayPal,12.22,Women's High-Waist Yoga Pants,Apparel,18.0,48.0,30.0,62.5,David Lopez,david.lopez35@example.com,East,Social Media,Consumer,2024-05-03,0,No Return,192.0,19.200000000000003,172.8,72.0,100.80000000000001,58.333333333333336,172.8,100.80000000000001,2025,8,2025-08,2025Q3,Tuesday
ORD-10042,2025-12-22,CUST-1085,PROD-21,4,0.05,Store Credit,13.6,Stainless Steel Espresso Machine,Home & Kitchen,140.0,299.99,159.99,53.33,Richard Jackson,richard.jackson3@example.com,Midwest,Email Campaign,Corporate,2024-01-07,0,No Return,1199.96,59.998000000000005,1139.962,560.0,579.962,50.87555550097284,1139.962,579.962,2025,12,2025-12,2025Q4,Monday
ORD-10043,2024-11-15,CUST-1232,PROD-36,4,0.0,Credit Card,18.31,Anti-Aging Retinol Night Cream,Beauty & Care,15.0,42.0,27.0,64.29,Robert Jones,robert.jones13@example.com,Midwest,Referral,Small Business,2025-06-23,0,No Return,168.0,0.0,168.0,60.0,108.0,64.28571428571429,168.0,108.0,2024,11,2024-11,2024Q4,Friday
ORD-10044,2025-05-02,CUST-1014,PROD-44,1,0.1,Store Credit,12.35,Ultra-Thick Non-Slip Yoga Mat,Sports & Outdoors,14.0,36.0,22.0,61.11,Michael Jackson,michael.jackson41@example.com,South,Direct / Organic,Corporate,2025-02-09,0,No Return,36.0,3.6,32.4,14.0,18.4,56.79012345679012,32.4,18.4,2025,5,2025-05,2025Q2,Friday
ORD-10045,2025-11-23,CUST-1411,PROD-45,1,0.2,PayPal,5.03,Folding Camping Chair Set,Sports & Outdoors,22.0,54.99,32.99,59.99,Linda Taylor,linda.taylor72@example.com,Midwest,Direct / Organic,Small Business,2024-08-14,0,No Return,54.99,10.998000000000001,43.992000000000004,22.0,21.992000000000004,49.990907437715954,43.992000000000004,21.992000000000004,2025,11,2025-11,2025Q4,Sunday
ORD-10046,2024-07-22,CUST-1414,PROD-08,4,0.2,Store Credit,8.45,High-Speed Wi-Fi Router,Electronics,50.0,119.99,69.99,58.33,Patricia Jones,patricia.jones44@example.com,West,Paid Ads,Small Business,2025-05-09,0,No Return,479.96,95.992,383.96799999999996,200.0,183.96799999999996,47.91232602716893,383.96799999999996,183.96799999999996,2024,7,2024-07,2024Q3,Monday
ORD-10047,2025-08-18,CUST-1821,PROD-42,3,0.1,Credit Card,19.19,Waterproof 4-Person Camping Tent,Beauty & Care,60.0,149.99,89.99000000000001,60.0,Karen Taylor,karen.taylor10@example.com,East,Email Campaign,Corporate,2025-08-12,0,No Return,449.97,44.99700000000001,404.973,180.0,224.973,55.55259239504856,404.973,224.973,2025,8,2025-08,2025Q3,Monday
ORD-10048,2025-05-11,CUST-1466,PROD-07,4,0.1,PayPal,14.04,USB-C Multi-Port Hub,Home & Kitchen,15.0,39.99,24.990000000000002,62.49,Thomas Martinez,thomas.martinez65@example.com,West,Email Campaign,Small Business,2025-02-15,0,No Return,159.96,15.996000000000002,143.964,60.0,83.964,58.3229140618488,143.964,83.964,2025,5,2025-05,2025Q2,Sunday
ORD-10049,2024-05-17,CUST-1851,PROD-05,1,0.0,Store Credit,13.66,Portable Bluetooth Speaker,Home & Kitchen,30.0,79.99,49.989999999999995,62.5,Lisa Hernandez,lisa.hernandez96@example.com,Midwest,Referral,Small Business,2025-06-21,0,No Return,79.99,0.0,79.99,30.0,49.989999999999995,62.49531191398925,79.99,49.989999999999995,2024,5,2024-05,2024Q2,Friday
ORD-10050,2024-11-30,CUST-1099,PROD-49,5,0.1,Store Credit,7.22,Outdoor Hydration Backpack 2L,Apparel,18.0,44.99,26.990000000000002,59.99,Betty Jackson,betty.jackson45@example.com,Midwest,Email Campaign,Small Business,2025-01-14,0,No Return,224.95000000000002,22.495000000000005,202.455,90.0,112.45500000000001,55.545676817070465,202.455,112.45500000000001,2024,11,2024-11,2024Q4,Saturday
ORD-10051,2025-11-08,CUST-1556,PROD-22,5,0.15,Credit Card,19.23,Non-Stick Ceramic Cookware Set,Beauty & Care,80.0,189.99,109.99000000000001,57.89,Donald Miller,donald.miller32@example.com,North,Email Campaign,Consumer,2025-01-04,0,No Return,949.95,142.4925,807.4575,400.0,407.4575,50.46178901056712,807.4575,407.4575,2025,11,2025-11,2025Q4,Saturday
ORD-10052,2024-02-02,CUST-1122,PROD-25,4,0.1,Store Credit,4.57,High-Speed Blender 1200W,Home & Kitchen,40.0,89.99,49.989999999999995,55.55,John Garcia,john.garcia71@example.com,North,Paid Ads,Consumer,2025-02-22,0,No Return,359.96,35.996,323.964,160.0,163.964,50.611796372436444,323.964,163.964,2024,2,2024-02,2024Q1,Friday
ORD-10053,2024-06-30,CUST-1311,PROD-46,4,0.0,Debit Card,15.44,Trekking Poles Aluminum Pair,Apparel,16.0,39.99,23.990000000000002,59.99,Jennifer Anderson,jennifer.anderson44@example.com,Midwest,Social Media,Small Business,2025-11-28,1,Defective Item,159.96,0.0,159.96,64.0,95.96000000000001,59.989997499374844,0.0,-15.44,2024,6,2024-06,2024Q2,Sunday
ORD-10054,2025-05-14,CUST-1503,PROD-43,5,0.15,Store Credit,11.6,Insulated Stainless Hydration Bottle,Sports & Outdoors,10.0,29.99,19.99,66.66,Jessica Wilson,jessica.wilson62@example.com,North,Organic Search,Corporate,2025-01-27,0,No Return,149.95,22.492499999999996,127.4575,50.0,77.4575,60.77123747131397,127.4575,77.4575,2025,5,2025-05,2025Q2,Wednesday
ORD-10055,2024-06-09,CUST-1507,PROD-38,5,0.2,Debit Card,16.25,Natural Sunscreen SPF 50,Beauty & Care,8.0,22.0,14.0,63.64,Mary Thomas,mary.thomas99@example.com,Midwest,Paid Ads,Consumer,2024-04-12,0,No Return,110.0,22.0,88.0,40.0,48.0,54.54545454545454,88.0,48.0,2024,6,2024-06,2024Q2,Sunday
ORD-10056,2024-10-18,CUST-1047,PROD-09,3,0.2,Credit Card,4.42,Noise Isolating Earbuds,Electronics,25.0,59.99,34.99,58.33,Patricia Williams,patricia.williams65@example.com,East,Paid Ads,Corporate,2024-03-11,0,No Return,179.97,35.994,143.976,75.0,68.976,47.907984664110685,143.976,68.976,2024,10,2024-10,2024Q4,Friday
ORD-10057,2025-10-02,CUST-1354,PROD-23,1,0.2,PayPal,7.95,Smart Robot Vacuum Cleaner,Home & Kitchen,160.0,349.99,189.99,54.28,Christopher Wilson,christopher.wilson7@example.com,East,Direct / Organic,Small Business,2025-01-25,0,No Return,349.99,69.998,279.992,160.0,119.99200000000002,42.85551015743307,279.992,119.99200000000002,2025,10,2025-10,2025Q4,Thursday
ORD-10058,2025-10-25,CUST-1705,PROD-05,1,0.05,PayPal,4.31,Portable Bluetooth Speaker,Home & Kitchen,30.0,79.99,49.989999999999995,62.5,Thomas Smith,thomas.smith27@example.com,East,Email Campaign,Corporate,2024-04-19,0,No Return,79.99,3.9995,75.9905,30.0,45.9905,60.52138096209394,75.9905,45.9905,2025,10,2025-10,2025Q4,Saturday
ORD-10059,2024-11-29,CUST-1433,PROD-37,4,0.05,Credit Card,15.13,Professional Hair Dryer 1875W,Beauty & Care,25.0,59.99,34.99,58.33,Charles Brown,charles.brown70@example.com,East,Referral,Consumer,2025-03-27,0,No Return,239.96,11.998000000000001,227.96200000000002,100.0,127.96200000000002,56.13303971714584,227.96200000000002,127.96200000000002,2024,11,2024-11,2024Q4,Friday
ORD-10060,2025-08-25,CUST-1585,PROD-25,1,0.1,Credit Card,15.04,High-Speed Blender 1200W,Home & Kitchen,40.0,89.99,49.989999999999995,55.55,Thomas Jackson,thomas.jackson9@example.com,North,Social Media,Corporate,2025-04-11,0,No Return,89.99,8.999,80.991,40.0,40.991,50.611796372436444,80.991,40.991,2025,8,2025-08,2025Q3,Monday
ORD-10061,2024-07-29,CUST-1784,PROD-43,5,0.05,Debit Card,19.5,Insulated Stainless Hydration Bottle,Sports & Outdoors,10.0,29.99,19.99,66.66,Sarah Lopez,sarah.lopez57@example.com,South,Organic Search,Small Business,2025-01-21,0,No Return,149.95,7.4975,142.4525,50.0,92.45249999999999,64.90058089538617,142.4525,92.45249999999999,2024,7,2024-07,2024Q3,Monday
ORD-10062,2024-07-25,CUST-1807,PROD-05,5,0.0,Debit Card,8.23,Portable Bluetooth Speaker,Home & Kitchen,30.0,79.99,49.989999999999995,62.5,Donald Martinez,missing_email@apexretail.com,South,Paid Ads,Corporate,2024-01-23,0,No Return,399.95,0.0,399.95,150.0,249.95,62.49531191398925,399.95,249.95,2024,7,2024-07,2024Q3,Thursday
ORD-10063,2024-10-31,CUST-1232,PROD-40,1,0.2,Credit Card,5.51,Beard Grooming & Trimming Kit,Beauty & Care,14.0,35.0,21.0,60.0,Robert Jones,robert.jones13@example.com,Midwest,Referral,Small Business,2025-06-23,0,No Return,35.0,7.0,28.0,14.0,14.0,50.0,28.0,14.0,2024,10,2024-10,2024Q4,Thursday
ORD-10064,2024-12-10,CUST-1544,PROD-31,3,0.0,Debit Card,12.06,Hydrating Facial Serum Vitamin C,Beauty & Care,12.0,34.0,22.0,64.71,Sandra Williams,sandra.williams72@example.com,West,Referral,Corporate,2024-10-09,1,Wrong Size / Fit,102.0,0.0,102.0,36.0,66.0,64.70588235294117,0.0,-12.06,2024,12,2024-12,2024Q4,Tuesday
ORD-10065,2024-11-03,CUST-1205,PROD-27,5,0.15,Store Credit,14.73,Electric Kettle Temperature Control,Apparel,22.0,49.99,27.990000000000002,55.99,Susan Rodriguez,susan.rodriguez66@example.com,North,Social Media,Corporate,2024-04-23,0,No Return,249.95000000000002,37.4925,212.4575,110.0,102.45750000000001,48.22493910546816,212.4575,102.45750000000001,2024,11,2024-11,2024Q4,Sunday
ORD-10066,2025-07-14,CUST-1721,PROD-34,5,0.1,PayPal,14.56,Deep Cleansing Charcoal Scrub,Beauty & Care,7.0,19.99,12.989999999999998,64.98,Michael Anderson,michael.anderson74@example.com,North,Social Media,Consumer,2025-02-20,0,No Return,99.94999999999999,9.995,89.95499999999998,35.0,54.954999999999984,61.09165693958089,89.95499999999998,54.954999999999984,2025,7,2025-07,2025Q3,Monday
ORD-10067,2025-04-23,CUST-1829,PROD-40,4,0.15,Credit Card,12.35,Beard Grooming & Trimming Kit,Beauty & Care,14.0,35.0,21.0,60.0,Donald Taylor,donald.taylor22@example.com,North,Social Media,Consumer,2025-09-24,0,No Return,140.0,21.0,119.0,56.0,63.0,52.94117647058824,119.0,63.0,2025,4,2025-04,2025Q2,Wednesday
ORD-10068,2025-01-08,CUST-1765,PROD-44,4,0.1,Debit Card,17.75,Ultra-Thick Non-Slip Yoga Mat,Sports & Outdoors,14.0,36.0,22.0,61.11,Michael Wilson,michael.wilson56@example.com,West,Paid Ads,Consumer,2025-10-23,1,Item Not as Described,144.0,14.4,129.6,56.0,73.6,56.79012345679012,0.0,-17.75,2025,1,2025-01,2025Q1,Wednesday
ORD-10069,2024-03-06,CUST-1274,PROD-19,3,0.2,Credit Card,7.77,Casual Canvas Sneakers,Apparel,22.0,52.0,30.0,57.69,Linda Brown,linda.brown18@example.com,South,Email Campaign,Consumer,2025-01-04,0,No Return,156.0,31.200000000000003,124.8,66.0,58.8,47.11538461538461,124.8,58.8,2024,3,2024-03,2024Q1,Wednesday
ORD-10070,2024-09-01,CUST-1252,PROD-20,5,0.1,Store Credit,14.34,Winter Insulated Gloves,Sports & Outdoors,12.0,32.0,20.0,62.5,Barbara Rodriguez,barbara.rodriguez46@example.com,North,Social Media,Consumer,2025-11-03,0,No Return,160.0,16.0,144.0,60.0,84.0,58.333333333333336,144.0,84.0,2024,9,2024-09,2024Q3,Sunday
ORD-10071,2024-02-07,CUST-1030,PROD-17,3,0.2,Credit Card,6.81,Thermal Base Layer Top,Apparel,15.0,38.0,23.0,60.53,James Williams,james.williams8@example.com,South,Organic Search,Consumer,2024-12-04,0,No Return,114.0,22.8,91.2,45.0,46.2,50.6578947368421,91.2,46.2,2024,2,2024-02,2024Q1,Wednesday
